target,Year,number,IF,PF,IF_proportion
bipolar,1999,singular,4.887971535464228e-10,2.4034439359356595e-09,0.16900290758055456
bipolar,2000,plural,1.2144932480330694e-09,1.2668992521724933e-08,0.0874775447732705
bipolar,2000,singular,5.975815635978726e-10,2.603972260040166e-09,0.18665360525434474
bipolar,2001,plural,1.515462529276336e-09,1.5979149114997426e-08,0.08662453103223751
bipolar,2001,singular,8.95827297263198e-10,3.0535199606924427e-09,0.2268292046131488
bipolar,2002,plural,1.6690084909359064e-09,1.9240019863023657e-08,0.07982238402866025
bipolar,2002,singular,1.0084551804734332e-09,3.57619935252375e-09,0.21996317786111647
bipolar,2003,plural,2.2195320065992216e-09,2.1671757848602217e-08,0.09290130503841344
bipolar,2003,singular,1.860967614135995e-09,3.8296787170060455e-09,0.32702218796340526
bipolar,2004,plural,2.3879515507831327e-09,2.3229551996247925e-08,0.09321562291966129
bipolar,2004,singular,2.118739497339713e-09,4.251916358682146e-09,0.33257792372146044
bipolar,2005,plural,2.5784443627837763e-09,2.7466975487706284e-08,0.08581821707316632
bipolar,2005,singular,2.343770273099161e-09,5.3714531552831855e-09,0.30378514567407416
bipolar,2006,plural,3.290644629798984e-09,3.558855940103253e-08,0.08463765428915357
bipolar,2006,singular,2.756830652650421e-09,6.862467895528214e-09,0.2865937301813356
bipolar,2007,plural,3.464640685457709e-09,3.934307051573731e-08,0.08093496681413301
bipolar,2007,singular,3.015891108277506e-09,7.575400497371123e-09,0.28475196610289233
bipolar,2008,plural,3.4938179175166997e-09,4.1439791534766564e-08,0.07775511382469552
bipolar,2008,singular,3.0555337149351654e-09,8.385362880249301e-09,0.26707117659128704
bipolar,2009,plural,3.401957525208031e-09,4.203233418463372e-08,0.07487642917235388
bipolar,2009,singular,3.2216710886347403e-09,8.825656142416198e-09,0.26741791161205974
bipolar,2010,plural,3.046852389435425e-09,4.207340203216907e-08,0.06752737608626005
